,Book Title,Source,Chapters in Book,Chapters Covered,Percentage Covered
83,the importance of being earnest,novelguide,3,0,0.0
84,the importance of being earnest,pinkmonkey,3,0,0.0
85,the importance of being earnest,shmoop,3,3,1.0
86,the importance of being earnest,sparknotes,3,0,0.0
87,the importance of being earnest,thebestnotes,3,0,0.0
88,the blithedale romance,bookwolf,29,0,0.0
89,the blithedale romance,cliffnotes,29,0,0.0
90,the blithedale romance,gradesaver,29,29,1.0
91,the blithedale romance,novelguide,29,0,0.0
92,the blithedale romance,pinkmonkey,29,0,0.0
93,the blithedale romance,shmoop,29,0,0.0
94,the blithedale romance,sparknotes,29,0,0.0
95,the blithedale romance,thebestnotes,29,0,0.0
96,the education of henry adams,bookwolf,35,0,0.0
97,the education of henry adams,cliffnotes,35,35,1.0
98,the education of henry adams,gradesaver,35,0,0.0
99,the education of henry adams,novelguide,35,0,0.0
100,the education of henry adams,pinkmonkey,35,0,0.0
101,the education of henry adams,shmoop,35,0,0.0
102,the education of henry adams,sparknotes,35,0,0.0
103,the education of henry adams,thebestnotes,35,0,0.0
104,utopia,bookwolf,7,0,0.0
105,utopia,cliffnotes,7,0,0.0
106,utopia,gradesaver,7,0,0.0
107,utopia,novelguide,7,7,1.0
108,utopia,pinkmonkey,7,0,0.0
109,utopia,shmoop,7,0,0.0
110,utopia,sparknotes,7,0,0.0
111,utopia,thebestnotes,7,0,0.0
112,dombey and son,bookwolf,62,0,0.0
113,dombey and son,cliffnotes,62,0,0.0
114,dombey and son,gradesaver,62,62,1.0
115,dombey and son,novelguide,62,0,0.0
116,dombey and son,pinkmonkey,62,0,0.0
117,dombey and son,shmoop,62,0,0.0
118,dombey and son,sparknotes,62,0,0.0
119,dombey and son,thebestnotes,62,0,0.0
120,much ado about nothing,bookwolf,17,0,0.0
121,much ado about nothing,cliffnotes,17,17,1.0
122,much ado about nothing,gradesaver,17,17,1.0
123,much ado about nothing,novelguide,17,17,1.0
124,much ado about nothing,pinkmonkey,17,17,1.0
125,much ado about nothing,shmoop,17,17,1.0
126,much ado about nothing,sparknotes,17,17,1.0
127,much ado about nothing,thebestnotes,17,0,0.0
128,the secret garden,bookwolf,27,0,0.0
129,the secret garden,cliffnotes,27,0,0.0
130,the secret garden,gradesaver,27,27,1.0
131,the secret garden,novelguide,27,0,0.0
132,the secret garden,pinkmonkey,27,0,0.0
133,the secret garden,shmoop,27,27,1.0
134,the secret garden,sparknotes,27,27,1.0
135,the secret garden,thebestnotes,27,0,0.0
136,the playboy of the western world,bookwolf,3,0,0.0
137,the playboy of the western world,cliffnotes,3,0,0.0
138,the playboy of the western world,gradesaver,3,3,1.0
139,the playboy of the western world,novelguide,3,0,0.0
140,the playboy of the western world,pinkmonkey,3,0,0.0
141,the playboy of the western world,shmoop,3,0,0.0
142,the playboy of the western world,sparknotes,3,0,0.0
143,the playboy of the western world,thebestnotes,3,0,0.0
144,the duchess of malfi,bookwolf,20,0,0.0
145,the duchess of malfi,cliffnotes,20,0,0.0
146,the duchess of malfi,gradesaver,20,20,1.0
147,the duchess of malfi,novelguide,20,0,0.0
148,the duchess of malfi,pinkmonkey,20,0,0.0
149,the duchess of malfi,shmoop,20,18,0.9
150,the duchess of malfi,sparknotes,20,0,0.0
151,the duchess of malfi,thebestnotes,20,0,0.0
152,the taming of the shrew,bookwolf,14,0,0.0
153,the taming of the shrew,cliffnotes,14,12,0.8571428571428571
154,the taming of the shrew,gradesaver,14,12,0.8571428571428571
155,the taming of the shrew,novelguide,14,0,0.0
156,the taming of the shrew,pinkmonkey,14,0,0.0
157,the taming of the shrew,shmoop,14,12,0.8571428571428571
158,the taming of the shrew,sparknotes,14,14,1.0
159,the taming of the shrew,thebestnotes,14,0,0.0
160,antony and cleopatra,bookwolf,42,0,0.0
161,antony and cleopatra,cliffnotes,42,42,1.0
162,antony and cleopatra,gradesaver,42,42,1.0
163,antony and cleopatra,novelguide,42,42,1.0
164,antony and cleopatra,pinkmonkey,42,0,0.0
165,antony and cleopatra,shmoop,42,0,0.0
166,antony and cleopatra,sparknotes,42,42,1.0
167,antony and cleopatra,thebestnotes,42,0,0.0
168,as you like it,bookwolf,22,0,0.0
169,as you like it,cliffnotes,22,22,1.0
170,as you like it,gradesaver,22,22,1.0
171,as you like it,novelguide,22,0,0.0
172,as you like it,pinkmonkey,22,0,0.0
173,as you like it,shmoop,22,22,1.0
174,as you like it,sparknotes,22,22,1.0
175,as you like it,thebestnotes,22,0,0.0
176,the last of the mohicans,bookwolf,33,0,0.0
177,the last of the mohicans,cliffnotes,33,33,1.0
178,the last of the mohicans,gradesaver,33,0,0.0
179,the last of the mohicans,novelguide,33,0,0.0
180,the last of the mohicans,pinkmonkey,33,0,0.0
181,the last of the mohicans,shmoop,33,0,0.0
182,the last of the mohicans,sparknotes,33,33,1.0
183,the last of the mohicans,thebestnotes,33,0,0.0
184,dracula,bookwolf,27,0,0.0
185,dracula,cliffnotes,27,27,1.0
186,dracula,gradesaver,27,27,1.0
187,dracula,novelguide,27,27,1.0
188,dracula,pinkmonkey,27,27,1.0
189,dracula,shmoop,27,27,1.0
190,dracula,sparknotes,27,27,1.0
191,dracula,thebestnotes,27,0,0.0
192,jane eyre,bookwolf,38,35,0.9210526315789473
193,jane eyre,cliffnotes,38,38,1.0
194,jane eyre,gradesaver,38,15,0.39473684210526316
195,jane eyre,novelguide,38,38,1.0
196,jane eyre,pinkmonkey,38,38,1.0
197,jane eyre,shmoop,38,15,0.39473684210526316
198,jane eyre,sparknotes,38,33,0.868421052631579
199,jane eyre,thebestnotes,38,0,0.0
200,adam bede,bookwolf,56,0,0.0
201,adam bede,cliffnotes,56,56,1.0
202,adam bede,gradesaver,56,54,0.9642857142857143
203,adam bede,novelguide,56,55,0.9821428571428571
204,adam bede,pinkmonkey,56,0,0.0
205,adam bede,shmoop,56,56,1.0
206,adam bede,sparknotes,56,55,0.9821428571428571
207,adam bede,thebestnotes,56,0,0.0
208,the hound of the baskervilles,bookwolf,15,0,0.0
209,the hound of the baskervilles,cliffnotes,15,0,0.0
210,the hound of the baskervilles,gradesaver,15,15,1.0
211,the hound of the baskervilles,novelguide,15,0,0.0
212,the hound of the baskervilles,pinkmonkey,15,0,0.0
213,the hound of the baskervilles,shmoop,15,15,1.0
214,the hound of the baskervilles,sparknotes,15,0,0.0
215,the hound of the baskervilles,thebestnotes,15,0,0.0
216,madame bovary,bookwolf,35,0,0.0
217,madame bovary,cliffnotes,35,35,1.0
218,madame bovary,gradesaver,35,0,0.0
219,madame bovary,novelguide,35,35,1.0
220,madame bovary,pinkmonkey,35,35,1.0
221,madame bovary,shmoop,35,35,1.0
222,madame bovary,sparknotes,35,0,0.0
223,madame bovary,thebestnotes,35,0,0.0
224,the aeneid,bookwolf,12,0,0.0
225,the aeneid,cliffnotes,12,0,0.0
226,the aeneid,gradesaver,12,12,1.0
227,the aeneid,novelguide,12,0,0.0
228,the aeneid,pinkmonkey,12,0,0.0
229,the aeneid,shmoop,12,12,1.0
230,the aeneid,sparknotes,12,12,1.0
231,the aeneid,thebestnotes,12,0,0.0
232,main street,bookwolf,39,0,0.0
233,main street,cliffnotes,39,39,1.0
234,main street,gradesaver,39,0,0.0
235,main street,novelguide,39,36,0.9230769230769231
236,main street,pinkmonkey,39,39,1.0
237,main street,shmoop,39,39,1.0
238,main street,sparknotes,39,39,1.0
239,main street,thebestnotes,39,0,0.0
240,the deerslayer,bookwolf,32,0,0.0
241,the deerslayer,cliffnotes,32,32,1.0
242,the deerslayer,gradesaver,32,0,0.0
243,the deerslayer,novelguide,32,0,0.0
244,the deerslayer,pinkmonkey,32,0,0.0
245,the deerslayer,shmoop,32,0,0.0
246,the deerslayer,sparknotes,32,0,0.0
247,the deerslayer,thebestnotes,32,0,0.0
248,oliver twist,bookwolf,53,0,0.0
249,oliver twist,cliffnotes,53,53,1.0
250,oliver twist,gradesaver,53,53,1.0
251,oliver twist,novelguide,53,53,1.0
252,oliver twist,pinkmonkey,53,0,0.0
253,oliver twist,shmoop,53,53,1.0
254,oliver twist,sparknotes,53,53,1.0
255,oliver twist,thebestnotes,53,0,0.0
256,the house of the seven gables,bookwolf,21,0,0.0
257,the house of the seven gables,cliffnotes,21,21,1.0
258,the house of the seven gables,gradesaver,21,21,1.0
259,the house of the seven gables,novelguide,21,0,0.0
260,the house of the seven gables,pinkmonkey,21,0,0.0
261,the house of the seven gables,shmoop,21,21,1.0
262,the house of the seven gables,sparknotes,21,21,1.0
263,the house of the seven gables,thebestnotes,21,0,0.0
264,vanity fair,bookwolf,67,0,0.0
265,vanity fair,cliffnotes,67,67,1.0
266,vanity fair,gradesaver,67,61,0.9104477611940298
267,vanity fair,novelguide,67,67,1.0
268,vanity fair,pinkmonkey,67,3,0.04477611940298507
269,vanity fair,shmoop,67,67,1.0
270,vanity fair,sparknotes,67,0,0.0
271,vanity fair,thebestnotes,67,0,0.0
272,winesburg ohio,bookwolf,22,0,0.0
273,winesburg ohio,cliffnotes,22,22,1.0
274,winesburg ohio,gradesaver,22,0,0.0
275,winesburg ohio,novelguide,22,15,0.6818181818181818
276,winesburg ohio,pinkmonkey,22,22,1.0
277,winesburg ohio,shmoop,22,0,0.0
278,winesburg ohio,sparknotes,22,0,0.0
279,winesburg ohio,thebestnotes,22,0,0.0
280,little women,bookwolf,47,0,0.0
281,little women,cliffnotes,47,0,0.0
282,little women,gradesaver,47,47,1.0
283,little women,novelguide,47,33,0.7021276595744681
284,little women,pinkmonkey,47,0,0.0
285,little women,shmoop,47,47,1.0
286,little women,sparknotes,47,47,1.0
287,little women,thebestnotes,47,46,0.9787234042553191
288,babbitt,bookwolf,34,0,0.0
289,babbitt,cliffnotes,34,34,1.0
290,babbitt,gradesaver,34,34,1.0
291,babbitt,novelguide,34,34,1.0
292,babbitt,pinkmonkey,34,0,0.0
293,babbitt,shmoop,34,34,1.0
294,babbitt,sparknotes,34,34,1.0
295,babbitt,thebestnotes,34,0,0.0
296,sons and lovers,bookwolf,15,0,0.0
297,sons and lovers,cliffnotes,15,0,0.0
298,sons and lovers,gradesaver,15,0,0.0
299,sons and lovers,novelguide,15,0,0.0
300,sons and lovers,pinkmonkey,15,0,0.0
301,sons and lovers,shmoop,15,15,1.0
302,sons and lovers,sparknotes,15,15,1.0
303,sons and lovers,thebestnotes,15,0,0.0
304,a tale of two cities,bookwolf,46,45,0.9782608695652174
305,a tale of two cities,cliffnotes,46,45,0.9782608695652174
306,a tale of two cities,gradesaver,46,45,0.9782608695652174
307,a tale of two cities,novelguide,46,46,1.0
308,a tale of two cities,pinkmonkey,46,0,0.0
309,a tale of two cities,shmoop,46,45,0.9782608695652174
310,a tale of two cities,sparknotes,46,45,0.9782608695652174
311,a tale of two cities,thebestnotes,46,45,0.9782608695652174
312,the house of mirth,bookwolf,29,0,0.0
313,the house of mirth,cliffnotes,29,29,1.0
314,the house of mirth,gradesaver,29,0,0.0
315,the house of mirth,novelguide,29,0,0.0
316,the house of mirth,pinkmonkey,29,0,0.0
317,the house of mirth,shmoop,29,29,1.0
318,the house of mirth,sparknotes,29,29,1.0
319,the house of mirth,thebestnotes,29,0,0.0
320,house of mirth,bookwolf,29,0,0.0
321,house of mirth,cliffnotes,29,0,0.0
322,house of mirth,gradesaver,29,29,1.0
323,house of mirth,novelguide,29,0,0.0
324,house of mirth,pinkmonkey,29,0,0.0
325,house of mirth,shmoop,29,0,0.0
326,house of mirth,sparknotes,29,0,0.0
327,house of mirth,thebestnotes,29,0,0.0
328,the scarlet letter,bookwolf,24,0,0.0
329,the scarlet letter,cliffnotes,24,24,1.0
330,the scarlet letter,gradesaver,24,24,1.0
331,the scarlet letter,novelguide,24,0,0.0
332,the scarlet letter,pinkmonkey,24,0,0.0
333,the scarlet letter,shmoop,24,24,1.0
334,the scarlet letter,sparknotes,24,24,1.0
335,the scarlet letter,thebestnotes,24,0,0.0
336,emma,bookwolf,55,0,0.0
337,emma,cliffnotes,55,0,0.0
338,emma,gradesaver,55,50,0.9090909090909091
339,emma,novelguide,55,55,1.0
340,emma,pinkmonkey,55,54,0.9818181818181818
341,emma,shmoop,55,55,1.0
342,emma,sparknotes,55,55,1.0
343,emma,thebestnotes,55,0,0.0
344,alice's adventures in wonderland,bookwolf,12,0,0.0
345,alice's adventures in wonderland,cliffnotes,12,12,1.0
346,alice's adventures in wonderland,gradesaver,12,12,1.0
347,alice's adventures in wonderland,novelguide,12,10,0.8333333333333334
348,alice's adventures in wonderland,pinkmonkey,12,10,0.8333333333333334
349,alice's adventures in wonderland,shmoop,12,0,0.0
350,alice's adventures in wonderland,sparknotes,12,12,1.0
351,alice's adventures in wonderland,thebestnotes,12,0,0.0
352,persuasion,bookwolf,24,0,0.0
353,persuasion,cliffnotes,24,0,0.0
354,persuasion,gradesaver,24,24,1.0
355,persuasion,novelguide,24,7,0.2916666666666667
356,persuasion,pinkmonkey,24,0,0.0
357,persuasion,shmoop,24,24,1.0
358,persuasion,sparknotes,24,24,1.0
359,persuasion,thebestnotes,24,0,0.0
360,pride and prejudice,bookwolf,60,60,1.0
361,pride and prejudice,cliffnotes,60,23,0.38333333333333336
362,pride and prejudice,gradesaver,60,23,0.38333333333333336
363,pride and prejudice,novelguide,60,56,0.9333333333333333
364,pride and prejudice,pinkmonkey,60,0,0.0
365,pride and prejudice,shmoop,60,0,0.0
366,pride and prejudice,sparknotes,60,0,0.0
367,pride and prejudice,thebestnotes,60,51,0.85
368,gulliver's travels,bookwolf,16,0,0.0
369,gulliver's travels,cliffnotes,16,16,1.0
370,gulliver's travels,gradesaver,16,9,0.5625
371,gulliver's travels,novelguide,16,0,0.0
372,gulliver's travels,pinkmonkey,16,0,0.0
373,gulliver's travels,shmoop,16,16,1.0
374,gulliver's travels,sparknotes,16,0,0.0
375,gulliver's travels,thebestnotes,16,0,0.0
376,wuthering heights,bookwolf,34,34,1.0
377,wuthering heights,cliffnotes,34,34,1.0
378,wuthering heights,gradesaver,34,34,1.0
379,wuthering heights,novelguide,34,32,0.9411764705882353
380,wuthering heights,pinkmonkey,34,34,1.0
381,wuthering heights,shmoop,34,34,1.0
382,wuthering heights,sparknotes,34,34,1.0
383,wuthering heights,thebestnotes,34,0,0.0
384,frankenstein,bookwolf,25,24,0.96
385,frankenstein,cliffnotes,25,25,1.0
386,frankenstein,gradesaver,25,23,0.92
387,frankenstein,novelguide,25,23,0.92
388,frankenstein,pinkmonkey,25,24,0.96
389,frankenstein,shmoop,25,24,0.96
390,frankenstein,sparknotes,25,24,0.96
391,frankenstein,thebestnotes,25,0,0.0
392,jude the obscure,bookwolf,53,0,0.0
393,jude the obscure,cliffnotes,53,53,1.0
394,jude the obscure,gradesaver,53,0,0.0
395,jude the obscure,novelguide,53,0,0.0
396,jude the obscure,pinkmonkey,53,53,1.0
397,jude the obscure,shmoop,53,0,0.0
398,jude the obscure,sparknotes,53,0,0.0
399,jude the obscure,thebestnotes,53,0,0.0
400,mansfield park,bookwolf,48,0,0.0
401,mansfield park,cliffnotes,48,0,0.0
402,mansfield park,gradesaver,48,48,1.0
403,mansfield park,novelguide,48,48,1.0
404,mansfield park,pinkmonkey,48,0,0.0
405,mansfield park,shmoop,48,48,1.0
406,mansfield park,sparknotes,48,48,1.0
407,mansfield park,thebestnotes,48,0,0.0
408,middlemarch,bookwolf,87,0,0.0
409,middlemarch,cliffnotes,87,0,0.0
410,middlemarch,gradesaver,87,56,0.6436781609195402
411,middlemarch,novelguide,87,87,1.0
412,middlemarch,pinkmonkey,87,86,0.9885057471264368
413,middlemarch,shmoop,87,87,1.0
414,middlemarch,sparknotes,87,86,0.9885057471264368
415,middlemarch,thebestnotes,87,0,0.0
416,siddhartha,bookwolf,12,0,0.0
417,siddhartha,cliffnotes,12,11,0.9166666666666666
418,siddhartha,gradesaver,12,12,1.0
419,siddhartha,novelguide,12,10,0.8333333333333334
420,siddhartha,pinkmonkey,12,12,1.0
421,siddhartha,shmoop,12,12,1.0
422,siddhartha,sparknotes,12,0,0.0
423,siddhartha,thebestnotes,12,0,0.0
424,ivanhoe,bookwolf,44,0,0.0
425,ivanhoe,cliffnotes,44,44,1.0
426,ivanhoe,gradesaver,44,0,0.0
427,ivanhoe,novelguide,44,44,1.0
428,ivanhoe,pinkmonkey,44,0,0.0
429,ivanhoe,shmoop,44,44,1.0
430,ivanhoe,sparknotes,44,44,1.0
431,ivanhoe,thebestnotes,44,44,1.0
432,treasure island,bookwolf,34,0,0.0
433,treasure island,cliffnotes,34,34,1.0
434,treasure island,gradesaver,34,34,1.0
435,treasure island,novelguide,34,0,0.0
436,treasure island,pinkmonkey,34,0,0.0
437,treasure island,shmoop,34,34,1.0
438,treasure island,sparknotes,34,0,0.0
439,treasure island,thebestnotes,34,34,1.0
440,david copperfield,bookwolf,64,0,0.0
441,david copperfield,cliffnotes,64,64,1.0
442,david copperfield,gradesaver,64,64,1.0
443,david copperfield,novelguide,64,64,1.0
444,david copperfield,pinkmonkey,64,0,0.0
445,david copperfield,shmoop,64,64,1.0
446,david copperfield,sparknotes,64,64,1.0
447,david copperfield,thebestnotes,64,0,0.0
448,sister carrie,bookwolf,47,0,0.0
449,sister carrie,cliffnotes,47,47,1.0
450,sister carrie,gradesaver,47,47,1.0
451,sister carrie,novelguide,47,27,0.574468085106383
452,sister carrie,pinkmonkey,47,0,0.0
453,sister carrie,shmoop,47,47,1.0
454,sister carrie,sparknotes,47,47,1.0
455,sister carrie,thebestnotes,47,0,0.0
456,kidnapped,bookwolf,30,0,0.0
457,kidnapped,cliffnotes,30,0,0.0
458,kidnapped,gradesaver,30,30,1.0
459,kidnapped,novelguide,30,30,1.0
460,kidnapped,pinkmonkey,30,30,1.0
461,kidnapped,shmoop,30,30,1.0
462,kidnapped,sparknotes,30,26,0.8666666666666667
463,kidnapped,thebestnotes,30,0,0.0
464,a christmas carol,bookwolf,5,0,0.0
465,a christmas carol,cliffnotes,5,0,0.0
466,a christmas carol,gradesaver,5,5,1.0
467,a christmas carol,novelguide,5,0,0.0
468,a christmas carol,pinkmonkey,5,0,0.0
469,a christmas carol,shmoop,5,0,0.0
470,a christmas carol,sparknotes,5,0,0.0
471,a christmas carol,thebestnotes,5,0,0.0
472,dr. jekyll and mr. hyde,bookwolf,10,0,0.0
473,dr. jekyll and mr. hyde,cliffnotes,10,10,1.0
474,dr. jekyll and mr. hyde,gradesaver,10,10,1.0
475,dr. jekyll and mr. hyde,novelguide,10,10,1.0
476,dr. jekyll and mr. hyde,pinkmonkey,10,10,1.0
477,dr. jekyll and mr. hyde,shmoop,10,0,0.0
478,dr. jekyll and mr. hyde,sparknotes,10,10,1.0
479,dr. jekyll and mr. hyde,thebestnotes,10,0,0.0
480,the turn of the screw,bookwolf,25,0,0.0
481,the turn of the screw,cliffnotes,25,22,0.88
482,the turn of the screw,gradesaver,25,24,0.96
483,the turn of the screw,novelguide,25,0,0.0
484,the turn of the screw,pinkmonkey,25,0,0.0
485,the turn of the screw,shmoop,25,25,1.0
486,the turn of the screw,sparknotes,25,23,0.92
487,the turn of the screw,thebestnotes,25,0,0.0
488,candide,bookwolf,30,0,0.0
489,candide,cliffnotes,30,29,0.9666666666666667
490,candide,gradesaver,30,30,1.0
491,candide,novelguide,30,18,0.6
492,candide,pinkmonkey,30,0,0.0
493,candide,shmoop,30,30,1.0
494,candide,sparknotes,30,30,1.0
495,candide,thebestnotes,30,0,0.0
496,paradise lost,bookwolf,10,0,0.0
497,paradise lost,cliffnotes,10,10,1.0
498,paradise lost,gradesaver,10,10,1.0
499,paradise lost,novelguide,10,0,0.0
500,paradise lost,pinkmonkey,10,0,0.0
501,paradise lost,shmoop,10,10,1.0
502,paradise lost,sparknotes,10,10,1.0
503,paradise lost,thebestnotes,10,0,0.0
504,the federalist papers,bookwolf,85,0,0.0
505,the federalist papers,cliffnotes,85,0,0.0
506,the federalist papers,gradesaver,85,85,1.0
507,the federalist papers,novelguide,85,0,0.0
508,the federalist papers,pinkmonkey,85,0,0.0
509,the federalist papers,shmoop,85,0,0.0
510,the federalist papers,sparknotes,85,0,0.0
511,the federalist papers,thebestnotes,85,0,0.0
512,the rivals,bookwolf,13,0,0.0
513,the rivals,cliffnotes,13,0,0.0
514,the rivals,gradesaver,13,13,1.0
515,the rivals,novelguide,13,0,0.0
516,the rivals,pinkmonkey,13,0,0.0
517,the rivals,shmoop,13,0,0.0
518,the rivals,sparknotes,13,0,0.0
519,the rivals,thebestnotes,13,0,0.0
520,northanger abbey,bookwolf,31,0,0.0
521,northanger abbey,cliffnotes,31,0,0.0
522,northanger abbey,gradesaver,31,16,0.5161290322580645
523,northanger abbey,novelguide,31,0,0.0
524,northanger abbey,pinkmonkey,31,0,0.0
525,northanger abbey,shmoop,31,31,1.0
526,northanger abbey,sparknotes,31,16,0.5161290322580645
527,northanger abbey,thebestnotes,31,0,0.0
528,my antonia,bookwolf,45,0,0.0
529,my antonia,cliffnotes,45,45,1.0
530,my antonia,gradesaver,45,45,1.0
531,my antonia,novelguide,45,45,1.0
532,my antonia,pinkmonkey,45,45,1.0
533,my antonia,shmoop,45,45,1.0
534,my antonia,sparknotes,45,6,0.13333333333333333
535,my antonia,thebestnotes,45,0,0.0
536,a vindication of the rights of woman,bookwolf,13,0,0.0
537,a vindication of the rights of woman,cliffnotes,13,0,0.0
538,a vindication of the rights of woman,gradesaver,13,13,1.0
539,a vindication of the rights of woman,novelguide,13,0,0.0
540,a vindication of the rights of woman,pinkmonkey,13,0,0.0
541,a vindication of the rights of woman,shmoop,13,13,1.0
542,a vindication of the rights of woman,sparknotes,13,0,0.0
543,a vindication of the rights of woman,thebestnotes,13,0,0.0
544,a study in scarlet,bookwolf,14,0,0.0
545,a study in scarlet,cliffnotes,14,0,0.0
546,a study in scarlet,gradesaver,14,14,1.0
547,a study in scarlet,novelguide,14,0,0.0
548,a study in scarlet,pinkmonkey,14,0,0.0
549,a study in scarlet,shmoop,14,0,0.0
550,a study in scarlet,sparknotes,14,0,0.0
551,a study in scarlet,thebestnotes,14,0,0.0
552,the life of timon of athens,bookwolf,17,0,0.0
553,the life of timon of athens,cliffnotes,17,0,0.0
554,the life of timon of athens,gradesaver,17,0,0.0
555,the life of timon of athens,novelguide,17,0,0.0
556,the life of timon of athens,pinkmonkey,17,0,0.0
557,the life of timon of athens,shmoop,17,17,1.0
558,the life of timon of athens,sparknotes,17,0,0.0
559,the life of timon of athens,thebestnotes,17,0,0.0
560,hamlet,bookwolf,20,18,0.9
561,hamlet,cliffnotes,20,20,1.0
562,hamlet,gradesaver,20,20,1.0
563,hamlet,novelguide,20,20,1.0
564,hamlet,pinkmonkey,20,20,1.0
565,hamlet,shmoop,20,20,1.0
566,hamlet,sparknotes,20,20,1.0
567,hamlet,thebestnotes,20,0,0.0
568,a midsummer night's dream,bookwolf,9,0,0.0
569,a midsummer night's dream,cliffnotes,9,9,1.0
570,a midsummer night's dream,gradesaver,9,9,1.0
571,a midsummer night's dream,novelguide,9,9,1.0
572,a midsummer night's dream,pinkmonkey,9,9,1.0
573,a midsummer night's dream,shmoop,9,6,0.6666666666666666
574,a midsummer night's dream,sparknotes,9,0,0.0
575,a midsummer night's dream,thebestnotes,9,0,0.0
576,othello,bookwolf,15,15,1.0
577,othello,cliffnotes,15,15,1.0
578,othello,gradesaver,15,15,1.0
579,othello,novelguide,15,14,0.9333333333333333
580,othello,pinkmonkey,15,15,1.0
581,othello,shmoop,15,15,1.0
582,othello,sparknotes,15,15,1.0
583,othello,thebestnotes,15,0,0.0
584,henry iv part 1,bookwolf,19,0,0.0
585,henry iv part 1,cliffnotes,19,19,1.0
586,henry iv part 1,gradesaver,19,15,0.7894736842105263
587,henry iv part 1,novelguide,19,15,0.7894736842105263
588,henry iv part 1,pinkmonkey,19,15,0.7894736842105263
589,henry iv part 1,shmoop,19,15,0.7894736842105263
