,rouge-1n,number of Unique sentences,title,source
218,0.2633821188132447,15,measure for measure,shmoop
219,0.3055899983284589,15,measure for measure,sparknotes
220,0.23872218824875593,22,the seagull,gradesaver
221,0.23639622059229407,25,the seagull,shmoop
222,0.32638495623273084,32,alice's adventure in wonderland,gradesaver
223,0.33534928804394487,25,alice's adventure in wonderland,sparknotes
224,0.26527581866685424,38,pride and prejudice,gradesaver
225,0.3351132956322119,31,pride and prejudice,cliffnotes
226,0.2784965552885994,23,emma,gradesaver
227,0.28341283597278843,11,emma,shmoop
228,0.2749852994770563,15,emma,sparknotes
229,0.25199166973123205,19,white fang,gradesaver
230,0.26122362271935134,12,white fang,shmoop
231,0.2836623333355924,15,white fang,sparknotes
232,0.2941231603404398,40,romeo and juliet,gradesaver
233,0.2322317474878014,24,romeo and juliet,shmoop
234,0.2811187971351232,23,romeo and juliet,sparknotes
235,0.23876963869370532,37,the merchant of venice,shmoop
236,0.28555332294654034,33,the merchant of venice,sparknotes
237,0.2618277687359378,23,major barbara,shmoop
238,0.22751790589043006,26,major barbara,sparknotes
239,0.29601599380379645,26,the jew of malta,gradesaver
240,0.28114831572896515,28,the jew of malta,sparknotes
241,0.3282881629466186,28,an ideal husband,gradesaver
242,0.30172037661208073,24,an ideal husband,shmoop
243,0.32635826912144256,23,an ideal husband,sparknotes
244,0.27823901479600344,12,the three musketeers,gradesaver
245,0.2356299151010821,22,the three musketeers,shmoop
246,0.24653806294140213,21,the three musketeers,cliffnotes
247,0.21681651741095773,23,the three musketeers,sparknotes
248,0.2348676943807762,19,black beauty,gradesaver
249,0.27116894098573197,15,black beauty,shmoop
250,0.24556617204849285,22,king lear,gradesaver
251,0.2394729715702143,19,king lear,shmoop
252,0.2898801514618915,23,king lear,sparknotes
253,0.24475870453572307,30,antony and cleopatra,gradesaver
254,0.2885739334016913,21,antony and cleopatra,sparknotes
255,0.2832089027233846,49,the adventures of huckleberry finn,gradesaver
256,0.320838331706595,23,the adventures of huckleberry finn,cliffnotes
257,0.3077269758871682,28,the adventures of huckleberry finn,sparknotes
258,0.24480838698750435,15,the duchess of malfi,gradesaver
259,0.23271158920162102,20,the duchess of malfi,shmoop
260,0.28407668533171515,19,the secret garden,gradesaver
261,0.25692549005246534,24,the secret garden,shmoop
262,0.26624611009591803,20,the secret garden,sparknotes
263,0.2257237541142376,19,the age of innocence,shmoop
264,0.26532164853446816,20,the age of innocence,cliffnotes
265,0.2798743774929513,22,the age of innocence,sparknotes
266,0.2669100001125298,30,ethan frome,gradesaver
267,0.2564827053408566,26,ethan frome,shmoop
268,0.2785495030672789,32,ethan frome,cliffnotes
269,0.2716224289996791,27,ethan frome,sparknotes
270,0.3004895584698291,38,bleak house,gradesaver
271,0.26898778675305385,40,bleak house,shmoop
272,0.2773898651698507,35,bleak house,cliffnotes
273,0.26020547132295746,36,bleak house,sparknotes
274,0.29080916585177996,40,the jungle,gradesaver
275,0.2733371258230952,42,the jungle,shmoop
276,0.29622355963526403,44,the jungle,sparknotes
277,0.3072624087672651,24,much ado about nothing,gradesaver
278,0.278252716696829,25,much ado about nothing,shmoop
279,0.3140729322020745,20,much ado about nothing,sparknotes
280,0.29202516858380245,18,anthem,gradesaver
281,0.27445463694598404,21,anthem,shmoop
282,0.2652017302595196,28,anthem,cliffnotes
283,0.31087103180282105,24,anthem,sparknotes
284,0.2758801972668291,39,as you like it,gradesaver
285,0.2637189467313094,35,as you like it,shmoop
286,0.30917816504496237,27,as you like it,sparknotes
287,0.20245401110997677,17,the ambassadors,shmoop
288,0.25547806189776073,12,the ambassadors,cliffnotes
289,0.27080716885693945,24,the taming of the shrew,gradesaver
290,0.2644372821835441,27,the taming of the shrew,shmoop
291,0.27438648670672966,27,the taming of the shrew,sparknotes
292,0.2798789949815897,57,the brothers karamazov,gradesaver
293,0.28531296842079756,36,the brothers karamazov,shmoop
294,0.2799478823932408,45,the brothers karamazov,cliffnotes
295,0.28873127250908054,43,the brothers karamazov,sparknotes
296,0.2591822874548621,40,the portrait of a lady,gradesaver
297,0.2841105048680134,23,the portrait of a lady,shmoop
298,0.30555436801700603,24,the portrait of a lady,cliffnotes
299,0.28419561608790994,25,the portrait of a lady,sparknotes
300,0.21318152817501224,12,the prince,gradesaver
301,0.13678317280621424,14,the prince,shmoop
302,0.22230678480132685,12,the prince,cliffnotes
303,0.21575429979615604,12,the prince,sparknotes
304,0.3130860790596025,14,the red and the black,shmoop
305,0.2865194438198771,21,the red and the black,cliffnotes
306,0.33996947241155334,23,the red and the black,sparknotes
307,0.28664324377841854,23,the picture of dorian gray,gradesaver
308,0.2558994986712662,25,the picture of dorian gray,shmoop
309,0.2890617938468825,27,the picture of dorian gray,cliffnotes
310,0.2921859649883866,23,the picture of dorian gray,sparknotes
311,0.24150419957246536,24,lord jim,gradesaver
312,0.25097920279516267,10,lord jim,shmoop
313,0.23399634233071417,26,lord jim,cliffnotes
314,0.2699073378789118,27,lord jim,sparknotes
315,0.26714285371255153,21,far from the madding crowd,gradesaver
316,0.21196860615223787,15,far from the madding crowd,shmoop
317,0.26007298726246636,17,far from the madding crowd,cliffnotes
318,0.2975489120908123,17,far from the madding crowd,sparknotes
319,0.2783048693426186,21,sense and sensibility,gradesaver
320,0.26556903143084276,18,sense and sensibility,shmoop
321,0.26906497614090685,21,sense and sensibility,cliffnotes
322,0.3205570742720331,15,sense and sensibility,sparknotes
323,0.24524345889239152,21,the white devil,gradesaver
324,0.2673648550095318,28,the white devil,shmoop
325,0.2858611314784212,36,the tempest,gradesaver
326,0.262519041400997,41,the tempest,shmoop
327,0.2791273388615095,38,the tempest,sparknotes
328,0.2695148431498299,37,uncle vanya,gradesaver
329,0.2616374554177689,29,uncle vanya,shmoop
330,0.26149654687919055,26,uncle vanya,sparknotes
331,0.24534156040362465,14,the comedy of errors,shmoop
332,0.29985088955386946,14,the comedy of errors,sparknotes
